season,year,month,hour,holiday,weekday,workingday,weather,temp,feel_temp,humidity,windspeed,target
1,0.0,2.0,7.0,0,0.0,0,0,7.38,8.334999999999999,0.51,16.997899999999998,2.0
0,1.0,8.0,14.0,0,5.0,1,0,35.26,12.12,0.34,27.9993,328.0
3,1.0,11.0,15.0,0,2.0,1,2,18.86,22.725,0.55,7.0015,287.0
3,1.0,10.0,13.0,0,5.0,1,0,22.96,26.515,0.37,26.0027,381.0
3,0.0,11.0,8.0,0,1.0,1,2,18.86,22.725,0.67,12.998,452.0
0,0.0,8.0,17.0,0,6.0,0,0,32.800000000000004,37.12,0.49,12.998,383.0
1,0.0,1.0,4.0,0,6.0,0,3,7.38,9.85,0.55,11.0014,1.0
2,1.0,5.0,18.0,0,4.0,1,0,30.34,32.575,0.3,12.998,785.0
2,1.0,6.0,9.0,0,2.0,1,2,21.32,25.0,0.72,16.997899999999998,335.0
3,1.0,10.0,3.0,0,1.0,1,2,22.96,26.515,0.73,16.997899999999998,4.0
1,1.0,3.0,16.0,0,2.0,1,0,29.52,32.575,0.34,26.0027,365.0
2,0.0,6.0,1.0,0,5.0,1,0,22.96,26.515,0.94,8.9981,23.0
1,0.0,12.0,6.0,0,5.0,1,0,15.58,19.695,0.82,16.997899999999998,40.0
2,1.0,6.0,13.0,0,2.0,1,0,30.34,34.09,0.58,8.9981,272.0
2,1.0,4.0,17.0,0,0.0,0,0,28.7,31.82,0.42,22.0028,623.0
2,1.0,4.0,4.0,0,3.0,1,0,17.22,21.21,0.67,6.0032,1.0
2,0.0,4.0,10.0,0,3.0,1,2,16.400000000000002,20.455,0.87,12.998,46.0
0,0.0,9.0,11.0,0,6.0,0,2,21.32,25.0,0.68,15.0013,367.0
3,0.0,12.0,13.0,0,6.0,0,0,13.94,15.15,0.34,27.9993,286.0
1,0.0,3.0,2.0,0,3.0,1,0,9.02,11.365,0.69,12.998,2.0
2,1.0,3.0,17.0,0,0.0,0,0,20.5,24.24,0.72,6.0032,419.0
0,1.0,9.0,10.0,0,5.0,1,2,27.880000000000003,31.82,0.65,0.0,246.0
2,1.0,6.0,3.0,0,3.0,1,0,25.42,28.79,0.83,12.998,8.0
2,0.0,5.0,13.0,0,6.0,0,3,21.32,25.0,1.0,6.0032,248.0
1,0.0,2.0,0.0,0,0.0,0,0,10.66,10.605,0.35,30.0026,17.0
1,1.0,2.0,10.0,0,5.0,1,0,11.48,12.88,0.56,19.0012,129.0
2,0.0,5.0,8.0,0,3.0,1,3,13.94,15.15,0.93,26.0027,79.0
1,1.0,3.0,5.0,0,4.0,1,0,18.86,22.725,0.67,0.0,26.0
0,0.0,7.0,5.0,0,3.0,1,0,27.880000000000003,31.82,0.83,7.0015,23.0
3,1.0,10.0,19.0,0,1.0,1,3,21.32,25.0,0.83,6.0032,239.0
0,1.0,8.0,16.0,0,1.0,1,0,32.800000000000004,35.605,0.36,6.0032,464.0
1,1.0,1.0,17.0,0,0.0,0,2,6.5600000000000005,9.09,0.8,7.0015,108.0
0,0.0,9.0,10.0,0,2.0,1,3,22.96,26.515,0.88,11.0014,30.0
1,0.0,2.0,21.0,0,3.0,1,0,9.02,9.85,0.47,22.0028,63.0
1,1.0,1.0,13.0,0,2.0,1,0,17.22,21.21,0.38,19.9995,178.0
0,1.0,6.0,17.0,0,4.0,1,0,36.08,39.395,0.37,0.0,615.0
1,1.0,1.0,20.0,0,0.0,0,3,6.5600000000000005,8.334999999999999,0.86,11.0014,74.0
3,1.0,11.0,3.0,0,2.0,1,0,9.02,12.12,0.64,7.0015,4.0
3,1.0,12.0,4.0,0,1.0,1,2,15.58,19.695,0.94,7.0015,12.0
1,1.0,2.0,4.0,0,5.0,1,0,16.400000000000002,20.455,0.87,8.9981,2.0
0,0.0,9.0,19.0,0,1.0,1,0,27.880000000000003,31.82,0.57,8.9981,436.0
0,1.0,7.0,19.0,0,6.0,0,0,37.72,41.665,0.33,8.9981,287.0
3,0.0,10.0,17.0,0,5.0,1,2,14.76,17.424999999999997,0.5,8.9981,446.0
0,1.0,7.0,5.0,0,2.0,1,0,27.06,30.305,0.83,8.9981,42.0
2,0.0,4.0,15.0,0,6.0,0,3,13.94,15.15,0.76,26.0027,136.0
1,0.0,1.0,20.0,0,1.0,1,0,5.74,6.819999999999999,0.59,12.998,81.0
0,1.0,6.0,14.0,0,1.0,1,0,31.98,34.85,0.43,16.997899999999998,251.0
2,1.0,6.0,19.0,0,3.0,1,0,22.96,26.515,0.73,19.9995,538.0
0,0.0,8.0,7.0,0,6.0,0,2,27.06,31.06,0.74,12.998,44.0
0,0.0,6.0,16.0,0,2.0,1,0,35.26,40.15,0.47,19.0012,261.0
3,0.0,10.0,20.0,1,1.0,0,0,24.6,29.545,0.73,0.0,225.0
0,1.0,9.0,21.0,0,0.0,0,0,28.7,32.575,0.7,11.0014,171.0
0,1.0,7.0,6.0,0,6.0,0,3,23.78,27.275,0.88,16.997899999999998,15.0
1,0.0,2.0,16.0,1,1.0,0,3,11.48,12.12,0.75,27.9993,56.0
0,1.0,7.0,5.0,0,4.0,1,0,27.06,31.06,0.74,12.998,42.0
1,1.0,3.0,18.0,0,1.0,1,0,26.24,31.06,0.57,16.997899999999998,801.0
2,0.0,5.0,7.0,1,1.0,0,2,26.24,28.03,0.94,0.0,31.0
3,1.0,12.0,13.0,0,3.0,1,0,17.22,21.21,0.5,12.998,213.0
0,1.0,9.0,14.0,0,5.0,1,0,32.800000000000004,38.635000000000005,0.59,16.997899999999998,253.0
1,0.0,3.0,8.0,0,0.0,0,0,11.48,13.635,0.56,11.0014,37.0
0,0.0,8.0,18.0,0,5.0,1,2,30.34,35.605,0.74,8.9981,410.0
2,0.0,4.0,1.0,0,4.0,1,2,25.42,28.79,0.83,26.0027,20.0
2,0.0,6.0,13.0,0,3.0,1,0,36.9,40.91,0.37,12.998,154.0
3,0.0,9.0,21.0,0,3.0,1,3,24.6,27.275,0.88,16.997899999999998,74.0
3,1.0,12.0,11.0,0,5.0,1,0,13.12,15.15,0.65,12.998,211.0
0,1.0,9.0,5.0,0,5.0,1,0,22.14,25.76,0.83,0.0,41.0
2,1.0,5.0,0.0,0,2.0,1,2,21.32,25.0,0.52,16.997899999999998,38.0
0,0.0,6.0,15.0,0,2.0,1,0,31.98,37.12,0.59,16.997899999999998,170.0
3,1.0,10.0,7.0,0,6.0,0,0,16.400000000000002,20.455,0.82,0.0,65.0
2,1.0,4.0,7.0,0,2.0,1,0,24.6,31.06,0.43,16.997899999999998,461.0
2,1.0,5.0,12.0,0,6.0,0,0,27.06,31.06,0.36,0.0,642.0
1,0.0,1.0,4.0,0,2.0,1,0,5.74,9.09,0.63,6.0032,2.0
0,0.0,7.0,0.0,0,4.0,1,0,27.06,31.06,0.69,19.9995,46.0
3,0.0,10.0,2.0,0,6.0,0,0,16.400000000000002,20.455,0.62,16.997899999999998,31.0
3,0.0,10.0,0.0,0,4.0,1,0,18.86,22.725,0.94,0.0,26.0
1,1.0,12.0,21.0,0,0.0,0,0,8.200000000000001,10.605,0.51,11.0014,47.0
3,0.0,12.0,4.0,0,2.0,1,3,18.86,22.725,0.88,15.0013,7.0
1,1.0,3.0,6.0,0,2.0,1,0,7.38,10.605,0.51,7.0015,102.0
3,1.0,11.0,6.0,0,6.0,0,0,9.84,10.605,0.44,19.0012,10.0
1,1.0,1.0,4.0,0,2.0,1,2,8.200000000000001,10.605,0.86,11.0014,4.0
0,1.0,7.0,19.0,0,2.0,1,0,36.08,39.395,0.35,16.997899999999998,547.0
1,0.0,1.0,6.0,0,5.0,1,0,9.02,10.605,0.55,16.997899999999998,27.0
3,1.0,11.0,2.0,0,0.0,0,0,11.48,14.395,0.81,7.0015,73.0
1,0.0,3.0,22.0,0,0.0,0,2,9.02,9.85,1.0,26.0027,10.0
0,0.0,8.0,8.0,0,4.0,1,2,28.7,32.575,0.82,23.9994,398.0
0,0.0,7.0,18.0,0,2.0,1,0,35.26,40.15,0.47,19.9995,511.0
2,1.0,6.0,5.0,0,6.0,0,0,22.14,25.76,0.68,7.0015,23.0
1,1.0,1.0,6.0,0,5.0,1,2,9.02,12.12,0.73,7.0015,70.0
2,0.0,6.0,8.0,0,4.0,1,2,24.6,29.545,0.69,8.9981,388.0
0,0.0,8.0,20.0,0,4.0,1,0,29.52,32.575,0.37,8.9981,288.0
3,0.0,10.0,8.0,0,0.0,0,0,18.04,21.97,0.62,12.998,99.0
0,0.0,9.0,21.0,0,1.0,1,0,26.24,30.305,0.73,6.0032,195.0
