lread,lwrite,scall,sread,swrite,fork,exec,rchar,wchar,runqsz,freemem,freeswap,target
28.0,1.0,4700.0,385.0,179.0,6.4,9.8,156781.0,63261.0,4.0,734.0,1629358.0,75.0
3.0,0.0,601.0,65.0,41.0,3.0,4.4,114968.0,36935.0,1.4,2582.0,1820523.0,82.0
2.0,2.0,2264.0,131.0,104.0,0.2,0.2,5816.0,20602.0,2.2,3116.0,1707682.0,95.0
0.0,0.0,261.0,51.0,35.0,0.2,0.2,270982.0,20290.0,1.4,8318.0,1868621.0,97.0
2.0,0.0,453.0,43.0,36.0,2.2,2.2,136424.0,57700.0,2.0,6264.0,1853056.0,89.0
11.0,0.0,4669.0,536.0,460.0,8.38,2.4,389919.0,19976.0,3.4,4130.0,1720584.0,74.0
5.0,4.0,1568.0,68.0,102.0,0.2,0.2,42053.0,30000.0,1.5,313.0,1016542.0,92.0
2.0,0.0,2437.0,295.0,116.0,0.6,1.4,40305.0,22330.0,1.8,490.0,1097225.0,91.0
6.0,1.0,2414.0,249.0,163.0,1.2,3.6,583992.0,472149.0,167.0,89.0,10.0,0.0
4.0,3.0,1132.0,109.0,110.0,0.2,0.2,8668.0,42910.0,2.4,551.0,1533008.0,96.0
1.0,0.0,1283.0,125.0,445.0,0.2,0.2,17782.0,52520.0,2.4,829.0,1704290.0,92.0
51.0,45.0,5244.0,478.0,430.0,7.2,4.0,203264.0,92352.0,3.6,2571.0,1644069.0,76.0
44.0,62.0,1186.0,110.0,108.0,0.8,0.8,119701.0,57634.0,1.7,276.0,974613.0,88.0
1.0,1.0,2021.0,93.0,96.0,0.2,0.2,105905.0,9499.0,2.0,630.0,1718893.0,95.0
8.0,5.0,3209.0,191.0,123.0,1.6,2.2,289588.0,141211.0,5.4,1578.0,1640846.0,90.0
5.0,0.0,7763.0,1587.0,1532.0,5.0,1.4,1348324.0,1199088.0,1.0,663.0,1093842.0,63.0
4.0,3.0,4571.0,441.0,362.0,0.6,1.99,469603.0,479822.0,2.0,586.0,1012072.0,75.0
16.0,23.0,5071.0,148.0,139.0,0.8,0.4,21392.0,36057.0,1.2,582.0,1737030.0,88.0
19.0,16.0,3002.0,194.0,123.0,1.8,2.2,300654.0,71750.0,2.4,1202.0,1014886.0,83.0
80.0,89.0,2360.0,231.0,184.0,2.6,1.6,234714.0,46287.0,4.6,7774.0,1365789.0,86.0
1.0,0.0,1817.0,181.0,132.0,0.4,0.6,320521.0,158073.0,1.6,132.0,1121385.0,88.0
