Gender,Age,Debt,Married,BankCustomer,Industry,Ethnicity,YearsEmployed,PriorDefault,Employed,CreditScore,DriversLicense,Citizen,ZipCode,Income,target
1,31.83,0.04,0,0,0,4,0.04,0,0,0,0,0,0,0,0
1,33.75,2.75,1,1,1,0,0.0,0,0,0,0,0,180,0,0
1,20.5,10.0,0,0,4,4,2.5,1,0,0,0,1,40,0,1
1,23.08,11.5,1,1,1,4,3.5,1,1,9,0,0,56,742,1
0,21.75,11.75,1,1,4,4,0.25,0,0,0,1,0,180,0,0
1,39.33,5.875,1,1,8,1,10.0,1,1,14,1,0,399,0,1
1,33.58,0.25,1,1,1,0,4.0,0,0,0,1,1,420,0,0
1,76.75,22.29,1,1,3,3,12.75,1,1,1,1,0,0,109,1
1,42.83,1.25,1,1,0,4,13.875,0,1,1,1,0,352,112,0
1,32.25,0.165,0,0,4,1,3.25,1,1,1,1,0,432,8000,1
0,33.75,0.75,1,1,5,0,1.0,1,1,3,1,0,212,0,0
1,55.92,11.5,1,1,6,2,5.0,1,1,5,0,0,0,8851,1
0,15.75,0.375,1,1,4,4,1.0,0,0,0,0,0,120,18,0
1,43.08,0.375,0,0,4,4,0.375,1,1,8,1,0,300,162,1
0,45.83,10.5,1,1,9,4,5.0,1,1,7,1,0,0,0,1
0,28.5,1.0,1,1,9,4,1.0,1,1,2,1,0,167,500,0
1,51.58,15.0,1,1,4,4,8.5,1,1,9,0,0,0,0,1
1,36.08,2.54,1,1,6,2,0.0,0,0,0,0,0,0,1000,0
1,22.5,0.125,0,0,5,4,0.125,0,0,0,0,0,200,70,0
0,25.25,13.5,0,0,6,2,2.0,0,1,1,1,0,200,1,0
1,24.83,2.75,1,1,4,4,2.25,1,1,6,0,0,0,600,1
1,24.08,0.875,1,1,0,4,0.085,0,1,4,0,0,254,1950,0
0,24.58,0.67,1,1,2,1,1.75,1,0,0,0,0,400,0,0
0,49.83,13.585,1,1,5,1,8.5,1,0,0,1,0,0,0,1
1,30.33,0.5,1,1,10,1,0.085,0,0,0,1,1,252,0,0
0,32.33,0.54,1,1,8,4,0.04,1,0,0,0,0,440,11177,1
0,18.92,9.0,1,1,2,4,0.75,1,1,2,0,0,88,591,1
1,23.42,0.585,1,1,4,1,0.085,1,0,0,0,0,180,0,0
0,33.92,1.585,0,0,6,2,0.0,1,0,0,0,0,320,0,0
0,16.33,0.21,1,1,2,4,0.125,0,0,0,0,0,200,1,0
0,22.75,6.165,1,1,2,4,0.165,0,0,0,0,0,220,1000,0
1,48.25,25.085,1,1,7,4,1.75,1,1,3,0,0,120,14,1
0,47.0,13.0,1,1,1,0,5.165,1,1,9,1,0,0,0,1
1,24.5,13.335,0,0,2,4,0.04,0,0,0,1,0,120,475,0
1,27.83,1.54,1,1,7,4,3.75,1,1,5,1,0,100,3,1
1,59.67,1.54,1,1,9,4,0.125,1,0,0,1,0,260,0,1
0,28.46,1.5,1,1,6,2,0.0,0,1,2,1,0,200,105,0
1,31.58,0.75,0,0,2,4,3.5,0,0,0,1,0,320,0,0
1,25.17,6.0,1,1,4,4,1.0,1,1,3,0,0,0,0,1
0,22.92,11.585,1,1,8,4,0.04,1,0,0,0,0,80,1349,1
0,22.42,5.665,1,1,9,4,2.585,1,1,7,0,0,129,3257,1
1,35.17,2.5,1,1,5,4,4.5,1,1,7,0,0,150,1270,1
1,19.42,7.25,1,1,0,4,0.04,0,1,1,0,0,100,1,0
1,24.42,12.335,1,1,9,1,1.585,1,0,0,1,0,120,0,1
1,48.75,8.5,1,1,4,1,12.5,1,1,9,0,0,181,1655,1
1,30.75,1.585,1,1,10,4,0.585,0,0,0,1,1,0,0,0
1,32.33,3.5,1,1,5,4,0.5,0,0,0,1,0,232,0,0
1,23.25,4.0,1,1,4,0,0.25,1,0,0,1,0,160,0,1
1,19.0,0.0,0,0,6,2,0.0,0,1,4,0,0,45,1,0
1,20.5,2.415,1,1,4,4,2.0,1,1,11,1,0,200,3000,1
1,23.58,0.835,1,1,1,1,0.085,0,0,0,1,0,220,5,0
0,38.25,6.0,1,1,5,4,1.0,1,0,0,1,0,0,0,1
1,34.08,2.5,1,1,4,4,1.0,0,0,0,0,0,460,16,0
1,34.58,0.0,1,1,4,4,0.0,0,0,0,0,2,0,0,0
0,36.0,1.0,1,1,4,4,2.0,1,1,11,0,0,0,456,1
1,25.67,0.29,0,0,4,4,1.5,0,0,0,1,0,160,0,0
1,28.0,3.0,1,1,7,4,0.75,0,0,0,1,0,300,67,0
0,50.08,12.54,1,1,2,4,2.29,1,1,3,1,0,156,0,1
0,22.67,0.79,1,1,1,4,0.085,0,0,0,0,0,144,0,0
0,24.83,4.5,1,1,7,4,1.0,0,0,0,1,0,360,6,0
1,32.08,4.0,1,1,0,4,2.5,1,0,0,1,0,360,0,1
1,17.25,3.0,1,1,5,4,0.04,0,0,0,1,0,160,40,0
1,56.42,28.0,0,0,4,4,28.5,1,1,40,0,0,0,15,1
0,21.67,11.5,0,0,11,3,0.0,1,1,11,1,0,0,0,1
1,25.42,0.54,1,1,7,4,0.165,0,1,1,0,0,272,444,0
1,28.17,0.585,1,1,2,4,0.04,0,0,0,0,0,260,1004,0
1,24.75,0.54,1,1,0,4,1.0,0,0,0,1,0,120,1,0
0,25.58,0.0,1,1,4,4,0.0,0,0,0,0,2,0,0,1
1,32.92,2.5,1,1,2,4,1.75,0,1,2,1,0,720,0,0
0,18.25,10.0,1,1,7,4,1.0,0,1,1,0,0,120,1,0
0,18.17,10.0,0,0,9,1,0.165,0,0,0,0,0,340,0,0
0,19.17,5.415,1,1,1,1,0.29,0,0,0,0,0,80,484,0
1,21.17,0.25,0,0,4,1,0.25,0,0,0,0,0,280,204,0
1,19.33,10.915,1,1,4,0,0.585,0,1,2,1,0,200,7,0
1,41.0,0.04,1,1,3,4,0.04,0,1,1,0,1,560,0,1
1,32.25,14.0,0,0,6,2,0.0,0,1,2,0,0,160,1,0
1,20.0,1.25,0,0,5,4,0.125,0,0,0,0,0,140,4,0
1,54.58,9.415,1,1,6,2,14.415,1,1,11,1,0,30,300,1
0,30.58,10.665,1,1,9,1,0.085,0,1,12,1,0,129,3,0
0,58.67,4.46,1,1,9,1,3.04,1,1,6,0,0,43,560,1
1,47.83,4.165,1,1,13,0,0.085,0,0,0,1,0,520,0,0
1,37.5,1.125,0,0,10,4,1.5,0,0,0,1,0,431,0,1
0,30.25,5.5,1,1,5,4,5.5,0,0,0,1,1,100,0,0
0,56.5,16.0,1,1,11,2,0.0,1,1,15,0,0,0,247,1
1,30.58,2.71,0,0,0,4,0.125,0,0,0,1,1,80,0,0
0,19.5,0.165,1,1,9,4,0.04,0,0,0,1,0,380,0,0
1,36.17,18.125,1,1,7,4,0.085,0,0,0,0,0,320,3552,0
1,28.46,10.5,1,1,13,4,6.5,1,0,0,0,0,0,0,1
1,20.17,5.625,1,1,7,4,1.71,1,0,0,0,1,120,0,1
1,21.83,1.54,1,1,5,4,0.085,0,0,0,1,0,356,0,0
1,27.83,1.0,0,0,10,1,3.0,0,0,0,0,0,176,537,0
1,33.17,2.25,0,0,8,4,3.5,0,0,0,1,0,200,141,0
1,22.67,2.54,0,0,4,1,2.585,1,0,0,0,0,0,0,1
1,23.92,1.5,1,1,10,1,1.875,1,1,6,0,0,200,327,1
0,24.5,1.75,0,0,4,4,0.165,0,0,0,0,0,132,0,0
0,20.67,1.835,1,1,9,4,2.085,1,1,5,0,0,220,2503,1
1,26.75,4.5,0,0,4,0,2.5,0,0,0,0,0,200,1210,0
0,69.5,6.0,1,1,6,2,0.0,0,0,0,0,1,0,0,0
1,39.58,5.0,1,1,6,2,0.0,0,1,2,0,0,17,1,0
1,25.92,0.875,1,1,5,4,0.375,0,1,2,1,0,174,3,0
1,25.83,12.835,1,1,8,4,0.5,0,0,0,0,0,0,2,0
1,44.33,0.5,1,1,1,1,5.0,1,0,0,1,0,320,0,1
0,25.08,2.54,0,0,2,4,0.25,1,0,0,1,0,370,0,1
1,48.33,12.0,1,1,0,4,16.0,1,0,0,0,1,110,0,1
1,20.17,9.25,1,1,4,4,1.665,1,1,3,1,0,40,28,1
1,27.58,2.04,0,0,2,4,2.0,1,1,3,1,0,370,560,1
0,35.17,3.75,1,1,6,2,0.0,0,1,6,0,0,0,200,0
