checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,target
1,24.0,0,6,1546.0,2,1,4.0,3,1,4.0,0,24.0,0,2,1.0,3,1.0,0,1,0
3,15.0,1,6,1459.0,2,0,4.0,0,2,2.0,0,43.0,1,1,1.0,3,1.0,0,1,1
1,8.0,1,4,731.0,2,3,4.0,3,2,4.0,3,47.0,1,1,2.0,3,1.0,0,1,1
1,6.0,3,9,1352.0,1,4,1.0,0,2,2.0,1,23.0,1,2,1.0,2,1.0,1,1,1
3,12.0,3,2,719.0,2,3,4.0,3,2,4.0,0,41.0,0,1,1.0,3,2.0,0,1,0
3,6.0,1,6,1382.0,2,0,1.0,0,2,1.0,0,28.0,1,1,2.0,1,1.0,1,1,1
0,18.0,3,6,866.0,2,0,4.0,2,1,2.0,3,25.0,1,1,1.0,3,1.0,0,1,1
1,9.0,3,6,1366.0,2,2,3.0,0,2,4.0,1,22.0,1,2,1.0,1,1.0,0,1,0
1,15.0,3,6,1053.0,2,2,4.0,2,2,2.0,3,27.0,1,1,1.0,1,1.0,0,0,1
1,24.0,3,4,915.0,4,3,4.0,0,2,2.0,0,29.0,0,1,1.0,1,1.0,0,1,0
1,12.0,3,9,3386.0,2,3,3.0,3,2,4.0,2,35.0,1,0,1.0,1,1.0,1,1,0
0,27.0,4,0,8318.0,2,3,2.0,0,2,4.0,2,42.0,1,0,2.0,0,1.0,1,1,0
2,21.0,3,4,2923.0,0,0,1.0,0,2,1.0,0,28.0,0,1,1.0,0,1.0,1,1,1
2,24.0,1,4,1344.0,4,1,4.0,3,2,2.0,3,37.0,0,1,2.0,3,2.0,0,1,0
1,18.0,3,6,1882.0,2,0,4.0,0,2,4.0,0,25.0,0,2,2.0,1,1.0,0,1,0
1,16.0,1,4,2625.0,2,3,2.0,3,1,4.0,1,43.0,0,2,1.0,1,1.0,1,1,0
3,6.0,2,6,932.0,2,0,3.0,0,2,2.0,3,24.0,1,1,1.0,1,1.0,0,1,1
3,12.0,1,2,2096.0,2,1,2.0,3,2,3.0,3,49.0,1,1,1.0,3,2.0,0,1,1
1,45.0,4,0,11816.0,2,3,2.0,3,2,4.0,0,29.0,1,2,2.0,1,1.0,0,1,0
1,48.0,1,9,6143.0,2,3,4.0,0,2,4.0,2,58.0,2,0,2.0,3,1.0,0,1,0
3,4.0,1,6,1503.0,2,1,2.0,3,2,1.0,3,42.0,1,1,2.0,3,2.0,0,1,1
3,24.0,1,3,5150.0,2,3,4.0,3,2,4.0,0,33.0,1,1,1.0,1,1.0,1,1,1
3,36.0,3,3,3349.0,2,0,4.0,0,2,2.0,0,28.0,1,1,1.0,0,1.0,1,1,0
3,12.0,1,3,1402.0,1,1,3.0,0,2,4.0,0,37.0,1,2,1.0,1,1.0,1,1,1
2,6.0,2,6,683.0,2,2,2.0,0,2,1.0,1,29.0,0,1,1.0,1,1.0,0,1,1
3,18.0,3,6,1126.0,4,2,4.0,0,2,2.0,3,21.0,1,2,1.0,1,1.0,1,1,1
3,18.0,1,2,1864.0,0,0,4.0,0,2,2.0,3,30.0,1,1,2.0,1,1.0,0,1,0
1,36.0,3,2,1977.0,4,3,4.0,3,2,4.0,2,40.0,1,1,1.0,0,1.0,1,1,0
1,12.0,3,4,3651.0,3,0,1.0,3,2,3.0,1,31.0,1,1,1.0,1,2.0,0,1,1
3,36.0,2,0,9572.0,2,2,1.0,1,2,1.0,0,28.0,1,1,2.0,1,1.0,0,1,0
1,36.0,1,2,8065.0,2,0,3.0,0,2,2.0,2,25.0,1,1,2.0,0,1.0,1,1,0
0,7.0,3,6,2329.0,2,2,1.0,0,1,1.0,3,45.0,1,1,1.0,1,1.0,0,1,1
2,24.0,3,6,1377.0,0,3,4.0,0,2,2.0,2,47.0,1,0,1.0,1,1.0,1,1,1
1,24.0,1,9,6615.0,2,4,2.0,3,2,4.0,2,75.0,1,0,2.0,0,1.0,1,1,1
1,24.0,3,6,1603.0,2,3,4.0,0,2,4.0,0,55.0,1,1,1.0,1,1.0,0,1,1
0,9.0,0,4,1437.0,0,1,2.0,3,2,3.0,2,29.0,1,1,1.0,1,1.0,0,1,0
2,12.0,0,0,609.0,2,2,4.0,0,2,1.0,3,26.0,1,1,1.0,2,1.0,0,1,0
1,30.0,3,9,3857.0,2,0,4.0,1,2,4.0,1,40.0,1,1,1.0,0,1.0,1,1,1
3,24.0,1,0,4526.0,2,0,3.0,3,2,2.0,3,74.0,1,1,1.0,0,1.0,1,1,1
3,15.0,3,4,3186.0,3,1,2.0,0,2,3.0,0,20.0,1,2,1.0,1,1.0,0,1,1
3,28.0,1,6,2743.0,2,3,4.0,3,2,2.0,0,29.0,1,1,2.0,1,1.0,0,1,1
3,12.0,3,0,1076.0,2,0,2.0,2,2,2.0,3,26.0,1,1,1.0,1,1.0,1,0,1
2,18.0,3,4,1961.0,2,3,3.0,0,2,2.0,0,23.0,1,1,1.0,0,1.0,0,1,1
0,48.0,4,5,18424.0,2,0,1.0,0,2,2.0,1,32.0,0,1,1.0,0,1.0,1,0,0
1,6.0,3,4,1374.0,4,4,4.0,0,2,3.0,1,75.0,1,1,1.0,0,1.0,1,1,1
3,18.0,1,6,6070.0,2,3,3.0,3,2,4.0,0,33.0,1,1,2.0,1,1.0,1,1,1
0,12.0,3,6,1567.0,2,0,1.0,0,2,1.0,0,22.0,1,1,1.0,1,1.0,1,1,1
0,12.0,3,3,2762.0,4,3,1.0,0,2,2.0,1,25.0,0,1,1.0,1,1.0,1,1,0
3,15.0,1,9,3368.0,3,3,3.0,3,2,4.0,2,23.0,1,2,2.0,1,1.0,1,1,1
3,6.0,3,4,3518.0,2,0,2.0,3,1,3.0,1,26.0,1,2,1.0,1,1.0,0,1,1
