,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,"2,21,16,3","2,22,16,3","2,23,16,3","2,24,16,3","2,25,16,3","2,27,16,3","2,28,16,3","2,29,16,3","2,31,16,3","2,33,16,3","2,34,16,3","2,35,16,3","2,36,16,3","2,37,16,3","2,38,16,3","2,39,16,3","2,40,16,3","2,41,16,3","2,25,6,3","2,30,6,3","2,26,6,3","2,26,9,3",42
0,16.0,2.0,1.0,2.0,25.0,92.51,0.16,6.4,14.45,592.07,0.03,32.89,12.0,0.0,2.0,0.0,8.0,5.0,17.0,8.0,3.0,0.00017142590898954537,7.681840129932838e-05,0.0,7.681840129932838e-05,3.121465352521696e-05,0.000512,0.0023235881079922433,0.0015653766034372852,5.1252613883308045e-06,9.608151983171499e-05,0.0,4.1002091106646436e-05,0.0,0.017186398576751367,0.0002962962962962963,3.7255759133335045e-05,2.211746664290767e-05,3.688110666016046e-05,0.0009913773959608905,6.361489475083536e-06,0.00031306158684485646,1.0,0.0
1,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0884184697748912e-06,0.0,0.0,0.0,1.9977378256138854e-09,0.0,0.0,0.0,0.0,5.5602731384094325e-08,0.0,0.0,0.0,3.3567184720217515e-05,0.0,7.583097727118877e-09,0.0,0.0,1.5862038335374248e-06,0.0,0.0,0.0,0.0
2,6.0,2.0,1.0,2.0,19.0,76.0,0.2,5.0,15.2,380.0,0.03,21.11,4.0,0.0,0.0,0.0,10.0,6.0,13.0,6.0,3.0,9.0003835000616e-06,7.681840129932838e-05,0.0,7.681840129932838e-05,1.370248374588564e-05,0.0010000000000000002,0.001107973150249597,0.0018219903019940024,5.1252613883308045e-06,3.5585748085820368e-06,0.0,0.0,0.0,0.03356718472021752,0.000512,1.6660065706480174e-05,9.330806239976674e-06,3.688110666016046e-05,0.0005726195839070103,2.6204742354624257e-06,0.0002112903219741366,1.0,0.0
3,57.0,6.0,1.0,5.0,195.0,1132.43,0.06,15.47,73.18,17523.69,0.38,973.54,48.0,2.0,5.0,0.0,17.0,39.0,124.0,71.0,10.0,0.007752553586713525,0.0023594223256222287,0.0,0.00136078310873096,0.014812976259698758,2.6999999999999996e-05,0.032816341633644074,0.2033258107115969,0.01041604973705511,0.006149217269229759,9.391435011269723e-05,0.0006406576735413506,0.0,0.16491557853042865,0.140608,0.014458116120870302,0.015461102741464311,0.00141708559821155,0.060315400770260576,0.005572676395256455,0.04691104985581975,1.0,1.0
4,1.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,0.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.2785522083928866e-07,0.03759537500000001,2.9915275056739118e-05,7.855917685345892e-05,0.0,0.0,0.0,0.0,0.0,0.0009063139874458729,2.3703703703703703e-06,2.0474363863220968e-07,4.319817703692904e-08,0.0,2.5379261336598797e-05,2.613215304062253e-09,2.341167002483508e-06,0.9999997749296758,0.0
5,113.0,15.0,11.0,14.0,527.0,3493.67,0.03,33.28,104.99,116258.98,1.16,6458.83,88.0,5.0,18.0,0.0,25.0,74.0,330.0,197.0,29.0,0.060402871398627364,0.037026469426276284,0.12491781722550954,0.03010183925200825,0.2923952669563472,3.3749999999999995e-06,0.3267150766885733,0.6004254667237774,0.2962962962962963,0.03789170456178153,0.001467411720510894,0.02989052441674525,0.0,0.5244872612533986,0.9605309629629629,0.2725137830194711,0.3302661763673573,0.034594478047230516,0.44053480448451543,0.24528202192609097,0.4464945699770224,1.0,1.0
6,16.0,1.0,1.0,1.0,40.0,175.69,0.17,6.0,29.28,1054.16,0.06,58.56,9.0,1.0,2.0,0.0,9.0,12.0,24.0,16.0,1.0,0.00017142590898954537,0.0,0.0,0.0,0.00012785522083928866,0.0006141250000000001,0.0019145776036313036,0.013023523988798743,4.1002091106646436e-05,4.0534391179004765e-05,1.1739293764087153e-05,4.1002091106646436e-05,0.0,0.02447047766103857,0.004096,0.00010482874297969135,0.00017693973314326136,0.0,0.00253792613365988,2.01662787839145e-05,0.0011291366548713607,1.0,0.0
7,2.0,1.0,1.0,1.0,3.0,4.75,1.0,1.0,4.75,4.75,0.0,0.26,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,2.930357418624707e-07,0.0,0.0,0.0,5.393892129157491e-08,0.125,8.863785201996775e-06,5.560273138409433e-05,0.0,0.0,0.0,0.0,0.0,0.0002685374777617401,2.3703703703703703e-06,6.066478181695102e-08,4.319817703692904e-08,0.0,1.4275834501836824e-05,4.09449099291004e-10,8.253528202114711e-07,0.9998503075449787,0.0
8,96.0,9.0,1.0,8.0,274.0,1554.24,0.04,22.29,69.72,34646.7,0.52,1924.82,82.0,7.0,5.0,0.0,15.0,36.0,167.0,107.0,17.0,0.03703699672524186,0.007989113735130152,0.0,0.005607743294850972,0.04109511320884593,8e-06,0.09816336300871795,0.1758277556042177,0.026690842714459925,0.03065756679778532,0.004026577761081894,0.0006406576735413506,0.0,0.11328924843073411,0.110592,0.035317997089440265,0.05291962439185067,0.006967692150565699,0.1190858390066557,0.021783940997579933,0.08836668923611211,1.0,1.0
9,19.0,1.0,1.0,1.0,18.0,57.06,0.27,3.75,15.22,213.97,0.02,11.89,6.0,4.0,0.0,0.0,5.0,4.0,12.0,6.0,1.0,0.0002870913025275463,0.0,0.0,0.0,1.165080699898018e-05,0.0024603750000000003,0.0004674261727615487,0.0018291918363721332,1.5185959669128312e-06,1.2010189978964374e-05,0.0007513148009015778,0.0,0.0,0.00419589809002719,0.0001517037037037037,1.310359287246142e-05,9.330806239976674e-06,0.0,0.0005139300420661257,8.308420606404482e-07,0.00011910115002448616,1.0,0.0
10,34.0,5.0,1.0,3.0,77.0,374.06,0.09,10.94,34.19,4092.71,0.12,227.37,27.0,2.0,3.0,0.0,12.0,17.0,46.0,31.0,9.0,0.001645311966060098,0.00136078310873096,0.0,0.00028532549054036257,0.0009120332427409838,9.112499999999999e-05,0.01160569596526261,0.020735408686660444,0.0003280167288531715,0.0010944285618331286,9.391435011269723e-05,0.0001383820574849317,0.0,0.05800409519653586,0.011645629629629629,0.000738108400366843,0.001286916892107153,0.001032670986484493,0.009404602529043392,0.0003039727455126089,0.005118408681916498,1.0,0.0
11,35.0,4.0,1.0,4.0,85.0,432.43,0.07,13.82,31.3,5974.42,0.14,331.91,28.0,1.0,3.0,1.0,15.0,19.0,50.0,35.0,7.0,0.0017948020566587956,0.0006913656116939555,0.0,0.0006913656116939555,0.0012268607421551273,4.287500000000001e-05,0.02339609371380739,0.015909198837596988,0.0005208784166511013,0.0012205911593436386,1.1739293764087153e-05,0.0001383820574849317,0.0005787037037037037,0.11328924843073411,0.01625837037037037,0.0009478872158898596,0.0018521218404583327,0.00048512840299134145,0.011460322697307894,0.0006477451965166711,0.00684044021746912,1.0,1.0
