,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,"2,21,15,3","2,22,15,3","2,23,15,3","2,24,15,3","2,41,15,3","2,30,19,26,3","2,2,21,15,3,15,3","2,2,22,15,3,15,3","2,2,23,15,3,15,3","2,2,24,15,3,15,3","2,2,41,15,3,15,3","2,2,2,21,15,3,15,3,15,3","2,2,2,22,15,3,15,3,15,3","2,2,2,23,15,3,15,3,15,3","2,2,2,24,15,3,15,3,15,3","2,2,2,41,15,3,15,3,15,3",42
0,10.0,2.0,1.0,2.0,17.0,60.94,0.33,3.0,20.31,182.83,0.02,10.16,5.0,1.0,0.0,2.0,6.0,6.0,11.0,6.0,3.0,0.1,0.5,1.0,0.5,0.3333333333333333,2.3182854888888046e-05,10.0,2.0,1.0,2.0,3.0,0.1,0.5,1.0,0.5,0.3333333333333333,0.0
1,1.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,0.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.997506681574486e-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2,1.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,0.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.997506681574486e-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3,4.0,1.0,1.0,1.0,6.0,15.51,0.5,2.0,7.75,31.02,0.01,1.72,2.0,0.0,0.0,0.0,4.0,2.0,4.0,2.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0010841813963053e-06,4.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,0.0
4,3.0,1.0,1.0,1.0,4.0,8.0,1.0,1.0,8.0,8.0,0.0,0.44,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.3316711210496573e-07,3.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.0
5,6.0,1.0,1.0,1.0,3.0,4.75,2.0,0.5,9.51,2.38,0.0,0.13,3.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,0.16666666666666666,1.0,1.0,1.0,1.0,2.3522721911666212e-08,6.0,1.0,1.0,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,1.0,0.0
6,18.0,2.0,1.0,2.0,35.0,136.74,0.15,6.86,19.94,937.65,0.05,52.09,14.0,0.0,2.0,0.0,8.0,7.0,23.0,12.0,3.0,0.05555555555555555,0.5,1.0,0.5,0.3333333333333333,0.00026678004481316147,18.0,2.0,1.0,2.0,3.0,0.05555555555555555,0.5,1.0,0.5,0.3333333333333333,0.0
7,8.0,1.0,1.0,1.0,22.0,81.41,0.21,4.67,17.44,379.91,0.03,21.11,5.0,0.0,0.0,0.0,7.0,6.0,14.0,8.0,1.0,0.125,1.0,1.0,1.0,1.0,6.43539913209862e-05,8.0,1.0,1.0,1.0,1.0,0.125,1.0,1.0,1.0,1.0,0.0
8,28.0,4.0,1.0,1.0,59.0,270.51,0.09,11.42,23.68,3090.09,0.09,171.67,22.0,0.0,1.0,0.0,11.0,13.0,32.0,27.0,7.0,0.03571428571428571,0.25,1.0,1.0,0.14285714285714285,0.0017392878399114643,28.0,4.0,1.0,1.0,7.0,0.03571428571428571,0.25,1.0,1.0,0.14285714285714285,0.0
9,5.0,2.0,1.0,1.0,8.0,22.46,0.27,3.75,5.99,84.22,0.01,4.68,3.0,0.0,0.0,0.0,5.0,2.0,5.0,3.0,3.0,0.2,0.5,1.0,1.0,0.3333333333333333,3.9358813393132125e-06,5.0,2.0,1.0,1.0,3.0,0.2,0.5,1.0,1.0,0.3333333333333333,0.0
