fathers_occupation,sons_occupation,family_structure,race,counts_for_sons_first_occupation,target
10,12,1,0,0.0,1
5,15,0,1,81.6,0
2,13,0,1,2.3,0
11,0,0,1,96.6,0
13,9,0,0,2.9,1
0,16,0,0,4.3,1
10,7,1,0,7.0,1
14,3,0,0,0.0,1
13,16,1,1,4.9,1
7,15,0,1,20.3,1
3,12,0,1,6.4,1
2,12,0,0,0.0,1
3,8,1,0,0.6,1
13,0,0,1,97.1,0
1,4,1,0,0.0,1
0,11,0,0,3.6,1
3,5,1,1,0.0,1
4,4,0,1,239.3,0
14,10,0,1,26.7,0
11,14,0,0,0.9,1
6,9,0,1,69.9,0
15,7,0,1,10.5,1
0,3,0,0,2.9,1
7,1,0,1,25.5,0
4,4,1,0,30.4,1
14,4,0,1,4.0,1
7,13,1,1,0.0,1
0,5,1,1,0.8,1
14,5,0,0,0.0,1
10,13,1,0,0.0,1
12,13,1,1,0.0,1
3,13,0,1,2.7,0
16,3,0,1,31.7,0
0,6,1,0,0.5,1
5,0,1,1,8.6,1
16,6,1,0,12.9,1
6,7,0,1,23.9,1
11,2,1,0,1.0,1
3,13,1,0,0.0,1
8,6,0,0,0.0,1
16,12,1,1,4.2,1
6,8,0,1,3.1,0
15,8,1,1,3.3,1
7,7,1,0,6.2,1
16,7,0,1,36.6,0
13,15,1,1,5.0,1
12,9,0,1,8.0,1
1,10,0,1,115.6,0
3,10,0,1,163.7,0
5,10,1,1,29.7,0
7,5,1,1,0.0,1
0,1,0,1,9.8,0
1,4,0,0,1.4,1
13,7,0,0,0.4,1
15,4,0,1,3.1,1
15,16,1,1,4.0,1
0,11,1,0,0.4,1
15,6,0,1,9.8,1
0,2,0,1,16.6,0
0,11,0,1,154.3,0
15,1,0,0,0.0,1
12,8,1,0,0.0,1
10,8,1,0,1.8,1
10,11,1,0,2.4,1
3,2,1,1,3.9,1
3,9,1,0,1.5,1
0,13,0,0,0.0,1
7,0,0,1,64.4,0
11,12,1,0,0.3,1
2,9,0,0,7.5,1
15,0,0,1,44.2,0
4,14,1,0,0.0,1
9,2,1,0,0.5,1
2,0,1,0,0.5,1
16,5,0,0,0.0,1
6,15,1,1,2.4,1
15,3,1,1,5.5,1
12,8,0,1,18.1,0
2,4,1,0,0.0,1
15,2,1,1,2.3,1
8,2,0,0,0.0,1
12,6,0,1,2.4,1
13,8,1,0,0.0,1
0,9,1,1,23.8,1
14,11,1,1,4.8,1
15,5,0,0,0.0,1
15,13,0,0,0.0,1
9,5,1,0,0.0,1
7,3,0,0,4.7,1
10,6,0,1,54.0,0
4,1,1,0,0.0,1
6,3,0,1,19.2,0
14,13,1,1,0.0,1
5,7,0,1,167.6,0
13,12,0,0,0.0,1
0,4,0,1,8.9,1
5,15,0,0,2.6,1
0,14,1,1,4.2,1
9,15,1,1,6.2,1
9,9,1,1,68.3,0
11,10,0,0,1.7,1
5,8,0,1,50.1,0
14,2,1,1,0.8,1
6,15,0,1,9.5,1
3,3,0,1,180.7,0
14,15,1,1,0.7,1
3,9,1,1,11.5,1
10,15,0,0,2.8,1
3,15,1,1,4.2,1
1,8,1,0,0.4,1
2,13,1,0,0.0,1
11,11,0,0,8.6,1
3,12,0,0,0.0,1
1,13,1,1,0.8,1
15,8,0,0,0.0,1
4,16,1,0,4.6,1
4,0,0,1,27.3,0
9,12,0,1,7.9,1
4,9,0,1,81.5,0
15,12,1,1,0.0,1
14,5,0,1,1.3,1
11,11,0,1,338.6,0
10,7,1,1,13.0,1
0,0,1,1,26.5,0
8,10,1,0,2.0,1
4,8,0,0,0.9,1
4,3,0,0,2.8,1
13,15,0,0,0.0,1
8,11,1,1,14.0,1
4,14,1,1,0.0,1
3,8,0,1,46.6,0
10,13,1,1,0.0,1
13,9,1,0,0.0,1
7,2,1,0,0.0,1
11,2,0,0,0.6,1
12,3,0,0,0.0,1
8,4,0,0,0.0,1
2,1,1,0,0.0,1
7,16,0,1,25.5,0
10,8,1,1,6.0,0
8,0,1,1,10.3,1
9,16,1,0,5.2,1
5,14,1,0,0.0,1
15,13,0,1,2.3,0
7,8,1,1,0.0,1
16,0,1,1,40.7,0
10,16,0,1,51.6,0
12,7,1,1,0.9,1
10,3,0,1,84.8,0
1,14,1,0,0.0,1
7,12,1,0,0.0,1
10,4,0,1,44.5,1
9,8,1,1,8.0,0
12,12,0,0,1.2,1
2,5,1,1,0.7,1
12,10,0,0,0.0,1
14,16,0,1,9.5,0
2,9,1,1,16.8,1
5,13,0,0,0.4,1
8,3,0,0,0.6,1
14,15,1,0,0.0,1
16,5,1,0,0.7,1
8,0,0,1,128.1,0
7,14,1,1,0.0,1
4,6,1,1,8.1,1
3,2,0,0,1.5,1
10,2,1,0,0.6,1
3,8,0,0,2.2,1
14,4,0,0,0.0,1
14,15,0,1,26.3,0
7,8,0,0,0.0,1
10,4,1,0,0.8,1
4,12,1,1,0.0,1
2,8,0,1,46.6,0
11,11,1,0,3.1,1
9,1,0,1,25.5,0
0,1,0,0,0.0,1
11,1,1,0,0.0,1
1,9,0,1,131.8,0
11,8,0,1,54.5,0
13,3,1,1,6.5,1
9,0,0,1,147.2,0
0,11,1,1,40.5,0
5,8,0,0,1.4,1
2,8,1,0,0.0,1
13,16,1,0,2.2,1
8,15,0,0,1.3,1
15,9,0,0,0.8,1
11,8,1,0,0.6,1
7,0,1,0,3.1,1
5,7,1,0,13.9,1
8,1,1,0,0.6,1
9,2,1,1,14.1,0
6,6,1,1,5.2,1
10,7,0,0,10.5,1
7,4,1,0,1.3,1
12,0,0,1,22.4,1
6,11,1,1,1.8,1
5,3,0,1,118.1,0
13,13,0,1,29.1,0
3,3,1,0,0.8,1
16,0,0,0,10.2,1
2,12,0,1,7.3,1
9,13,1,1,0.7,1
1,6,0,1,33.8,1
15,10,1,0,0.0,1
0,12,0,1,1.9,1
8,4,0,1,5.2,1
9,3,0,0,3.9,1
5,11,1,0,3.7,1
2,7,0,0,5.2,1
0,8,1,1,7.5,0
4,0,1,0,2.9,1
11,13,1,1,0.8,1
12,14,0,0,0.0,1
1,8,0,1,26.7,0
13,11,0,0,1.3,1
9,8,0,1,26.6,0
8,9,0,0,0.4,1
16,16,1,1,21.5,0
16,9,1,1,39.3,0
5,11,1,1,16.9,1
9,1,1,1,7.0,1
2,4,0,0,0.0,1
10,13,0,0,0.5,1
7,7,0,1,89.0,0
11,4,1,1,4.2,1
6,7,1,1,1.4,1
8,1,0,0,0.0,1
13,5,0,1,11.0,1
2,10,0,1,91.9,0
4,3,1,1,8.8,1
11,6,1,0,1.0,1
5,12,0,0,0.0,1
0,13,0,1,4.1,1
16,8,0,1,30.0,0
8,6,1,1,2.5,1
15,5,0,1,2.9,1
0,9,0,0,5.7,1
14,9,1,0,0.0,1
8,3,1,1,4.4,1
13,12,0,1,16.2,0
1,13,0,1,5.1,0
8,5,1,0,0.0,1
14,10,1,1,3.7,1
9,4,1,1,3.2,1
7,11,1,0,0.8,1
6,14,1,0,0.5,1
5,3,0,0,8.7,1
7,4,1,1,3.4,1
12,15,1,0,0.0,1
15,11,1,0,0.0,1
12,4,0,1,0.0,1
16,11,0,0,6.4,1
9,6,0,1,88.7,0
10,14,1,1,0.8,1
12,13,1,0,0.0,1
7,9,0,1,92.4,0
10,8,0,1,23.3,0
10,1,0,0,2.2,1
13,12,1,1,1.5,1
16,10,1,1,37.5,0
15,12,0,0,0.0,1
10,11,0,0,8.7,1
15,9,0,1,35.5,0
6,12,1,0,0.0,1
14,14,0,1,40.5,0
10,12,1,1,0.7,1
14,9,0,0,0.0,1
4,9,0,0,14.2,0
4,8,1,0,0.0,1
0,16,1,0,1.7,1
13,10,1,1,7.6,1
13,0,1,1,10.4,1
7,14,0,1,7.1,1
4,8,1,1,0.0,1
9,8,1,0,0.6,1
1,12,1,1,0.0,1
15,0,1,1,11.4,1
6,16,0,0,12.9,1
11,4,0,1,11.1,1
5,1,0,1,94.2,0
14,15,0,0,0.0,1
1,0,0,1,112.9,0
8,13,1,1,0.6,1
