,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,"2,37,14,3","2,38,14,3","2,37,16,3","2,38,16,3","2,24,14,3","2,27,14,3","2,30,14,3","2,31,14,3","2,33,14,3","2,37,9,3","2,38,9,3","2,30,13,3","2,32,14,3","2,37,11,3","2,38,11,3",39
0,100.0,54.0,102.0,206.0,65.0,10.0,198.0,33.0,23.0,164.0,224.0,587.0,240.0,72.0,4.0,11.0,187.0,196.0,5.231108616854587,5.278114659230517,0.33052090552090574,0.46180925411135054,5.327876168789581,5.288267030694535,5.099866427824198,5.4116460518550396,5.480638923341991,1.0,1.0,1.0,6.375024819828096,-0.2666666666666657,0.0,2.0
1,103.0,54.0,107.0,218.0,64.0,12.0,222.0,30.0,25.0,174.0,221.0,728.0,199.0,67.0,0.0,18.0,189.0,200.0,5.241747015059643,5.298317366548036,0.3949778726094515,0.5976170475637883,5.384495062789089,5.402677381872279,5.159055299214529,5.3981627015177525,5.293304824724492,1.0,1.0,1.0,6.590301048196686,-0.13333333333333286,0.2666666666666675,1.0
2,104.0,53.0,108.0,204.0,64.0,11.0,220.0,31.0,25.0,172.0,226.0,707.0,203.0,71.0,14.0,30.0,189.0,203.0,5.241747015059643,5.313205979041787,0.3949778726094515,0.7031040445241168,5.318119993844216,5.393627546352361,5.147494476813453,5.420534999272285,5.313205979041787,1.0,1.0,1.0,6.561030665896572,-0.13333333333333286,0.4666666666666668,2.0
3,93.0,40.0,73.0,139.0,58.0,6.0,136.0,49.0,18.0,138.0,166.0,275.0,137.0,73.0,0.0,0.0,187.0,188.0,5.231108616854587,5.236441962829949,0.33052090552090574,0.20637753702885808,4.9344739331306915,4.9126548857360515,4.927253685157204,5.111987788356543,4.919980925828125,1.0,1.0,1.0,5.616771097666571,-0.2666666666666657,-0.5333333333333332,3.0
4,92.0,39.0,76.0,180.0,71.0,6.0,152.0,43.0,19.0,131.0,179.0,350.0,143.0,72.0,6.0,14.0,195.0,200.0,5.272999558563747,5.298317366548036,0.5966793716793719,0.5976170475637883,5.19295685089021,5.0238805208462765,4.875197323201151,5.187385805840755,4.962844630259907,1.0,1.0,1.0,5.857933154483459,0.2666666666666675,0.2666666666666675,0.0
5,103.0,57.0,105.0,221.0,69.0,11.0,218.0,30.0,24.0,173.0,226.0,706.0,250.0,73.0,10.0,2.0,187.0,195.0,5.231108616854587,5.272999558563747,0.33052090552090574,0.42871031900675205,5.3981627015177525,5.384495062789089,5.153291594497778,5.420534999272285,5.521460917862246,1.0,1.0,1.0,6.559615237493242,-0.2666666666666657,-0.06666666666666643,1.0
6,90.0,41.0,62.0,147.0,60.0,6.0,128.0,52.0,18.0,141.0,149.0,246.0,157.0,61.0,13.0,4.0,201.0,208.0,5.303304908059076,5.337538079701318,0.8111831467094628,0.8859707464082514,4.990432586778736,4.852030263919617,4.948759890378168,5.003946305945459,5.056245805348308,1.0,1.0,1.0,5.5053315359323625,0.6666666666666679,0.8000000000000007,3.0
7,106.0,53.0,98.0,203.0,63.0,11.0,220.0,30.0,25.0,167.0,228.0,710.0,214.0,71.0,10.0,24.0,188.0,197.0,5.236441962829949,5.2832037287379885,0.3625779625779628,0.49524766251273733,5.313205979041787,5.393627546352361,5.1179938124167546,5.42934562895444,5.365976015021851,1.0,1.0,1.0,6.5652649700353605,-0.1999999999999993,0.06666666666666643,1.0
8,106.0,55.0,96.0,196.0,60.0,12.0,221.0,30.0,25.0,173.0,225.0,717.0,214.0,72.0,9.0,13.0,186.0,196.0,5.225746673713201,5.278114659230517,0.2988048777522463,0.46180925411135054,5.278114659230517,5.3981627015177525,5.153291594497778,5.41610040220442,5.365976015021851,1.0,1.0,1.0,6.57507584059962,-0.33333333333333215,0.0,1.0
9,97.0,46.0,94.0,209.0,67.0,10.0,195.0,34.0,22.0,147.0,224.0,573.0,194.0,70.0,0.0,14.0,188.0,197.0,5.236441962829949,5.2832037287379885,0.3625779625779628,0.49524766251273733,5.342334251964811,5.272999558563747,4.990432586778736,5.4116460518550396,5.267858159063328,1.0,1.0,1.0,6.350885716714739,-0.1999999999999993,0.06666666666666643,1.0
