,21,22,23,24,25,26,27,28,29,30,31,"2,21,5,3","2,22,5,3","2,23,5,3","2,24,5,3","2,25,5,3","2,28,5,3","2,29,5,3","2,30,5,3","2,31,5,3",32
0,6.7,0.35,0.48,8.8,0.056,35.0,167.0,0.99628,3.04,0.47,9.4,2.588435821108957,0.5916079783099616,0.6928203230275509,2.9664793948382653,0.23664319132398465,0.998138266975072,1.7435595774162693,0.6855654600401044,3.0659419433511785,5.0
1,7.4,0.25,0.37,6.9,0.02,14.0,93.0,0.9939,3.0,0.48,10.7,2.7202941017470885,0.5,0.6082762530298219,2.6267851073127395,0.1414213562373095,0.9969453345093702,1.7320508075688772,0.6928203230275509,3.271085446759225,7.0
2,7.5,0.16,0.38,12.7,0.043,70.5,163.0,0.99706,3.15,0.82,10.4,2.7386127875258306,0.4,0.6164414002968976,3.5637059362410923,0.2073644135332772,0.998528917958814,1.7748239349298849,0.9055385138137416,3.22490309931942,7.0
3,8.3,0.26,0.41,9.2,0.042,41.0,162.0,0.9944,3.1,0.38,12.0,2.8809720581775866,0.5099019513592785,0.6403124237432849,3.03315017762062,0.20493901531919198,0.9971960689854328,1.760681686165901,0.6164414002968976,3.4641016151377544,7.0
4,5.8,0.28,0.66,9.1,0.039,26.0,159.0,0.9965,3.66,0.55,10.8,2.4083189157584592,0.5291502622129182,0.812403840463596,3.0166206257996713,0.19748417658131498,0.9982484660644363,1.9131126469708992,0.7416198487095663,3.286335345030997,5.0
5,7.4,0.28,0.36,14.6,0.048,35.0,161.0,0.9968,3.14,0.56,10.6,2.7202941017470885,0.5291502622129182,0.6,3.82099463490856,0.21908902300206645,0.9983987179478948,1.772004514666935,0.7483314773547883,3.255764119219941,5.0
6,6.8,0.23,0.3,6.95,0.044,42.0,179.0,0.9946,3.25,0.56,10.6,2.6076809620810595,0.47958315233127197,0.5477225575051661,2.6362852652928135,0.20976176963403032,0.9972963451251589,1.8027756377319946,0.7483314773547883,3.255764119219941,6.0
7,8.2,0.915,0.27,2.1,0.088,7.0,23.0,0.9962,3.26,0.47,10.0,2.8635642126552705,0.9565563234854496,0.5196152422706632,1.449137674618944,0.2966479394838265,0.9980981915623331,1.8055470085267789,0.6855654600401044,3.1622776601683795,4.0
8,9.7,0.32,0.54,2.5,0.094,28.0,83.0,0.9984,3.28,0.82,9.6,3.1144823004794873,0.565685424949238,0.7348469228349535,1.5811388300841898,0.3065941943351178,0.9991996797437437,1.8110770276274832,0.9055385138137416,3.0983866769659336,5.0
9,6.3,0.23,0.21,5.1,0.035,29.0,142.0,0.9942,3.36,0.33,10.1,2.5099800796022267,0.47958315233127197,0.458257569495584,2.258317958127243,0.18708286933869708,0.9970957827611147,1.833030277982336,0.5744562646538028,3.1780497164141406,7.0
10,6.5,0.21,0.4,7.3,0.041,49.0,115.0,0.99268,3.21,0.43,11.0,2.5495097567963922,0.458257569495584,0.6324555320336759,2.701851217221259,0.2024845673131659,0.9963332775733229,1.7916472867168918,0.6557438524302001,3.3166247903554,6.0
11,5.4,0.29,0.47,3.0,0.052,47.0,145.0,0.993,3.29,0.75,10.0,2.32379000772445,0.5385164807134504,0.6855654600401044,1.7320508075688772,0.22803508501982758,0.9964938534682489,1.8138357147217055,0.8660254037844386,3.1622776601683795,6.0
12,9.1,0.37,0.32,2.1,0.064,4.0,15.0,0.99576,3.3,0.8,11.2,3.0166206257996713,0.6082762530298219,0.565685424949238,1.449137674618944,0.25298221281347033,0.9978777480232737,1.816590212458495,0.8944271909999159,3.3466401061363023,6.0
13,8.4,0.36,0.32,2.2,0.081,32.0,79.0,0.9964,3.3,0.72,11.0,2.898275349237888,0.6,0.565685424949238,1.4832396974191326,0.28460498941515416,0.9981983770774224,1.816590212458495,0.848528137423857,3.3166247903554,6.0
14,7.8,0.2,0.24,1.6,0.026,26.0,189.0,0.991,3.08,0.74,12.1,2.792848008753788,0.4472135954999579,0.4898979485566356,1.2649110640673518,0.161245154965971,0.9954898291795853,1.7549928774784245,0.8602325267042626,3.478505426185217,7.0
15,5.9,0.34,0.3,3.8,0.035,57.0,135.0,0.99016,3.09,0.34,12.0,2.4289915602982237,0.5830951894845301,0.5477225575051661,1.9493588689617927,0.18708286933869708,0.9950678368834961,1.7578395831246945,0.5830951894845301,3.4641016151377544,6.0
16,7.5,0.24,0.29,1.1,0.046,34.0,84.0,0.9902,3.04,0.39,11.45,2.7386127875258306,0.4898979485566356,0.5385164807134504,1.0488088481701516,0.21447610589527216,0.9950879358127099,1.7435595774162693,0.6244997998398398,3.383784863137726,6.0
17,7.9,0.19,0.42,1.6,0.057,18.0,30.0,0.994,3.29,0.69,11.2,2.8106938645110393,0.43588989435406733,0.648074069840786,1.2649110640673518,0.23874672772626646,0.9969954864491614,1.8138357147217055,0.8306623862918074,3.3466401061363023,6.0
18,10.4,0.52,0.45,2.0,0.08,6.0,13.0,0.99774,3.22,0.76,11.4,3.22490309931942,0.7211102550927979,0.6708203932499369,1.4142135623730951,0.282842712474619,0.9988693608275309,1.794435844492636,0.8717797887081347,3.3763886032268267,6.0
19,7.2,0.34,0.34,12.6,0.048,7.0,41.0,0.9942,3.19,0.4,11.7,2.6832815729997477,0.5830951894845301,0.5830951894845301,3.5496478698597698,0.21908902300206645,0.9970957827611147,1.786057109949175,0.6324555320336759,3.420526275297414,5.0
20,8.1,0.12,0.38,0.9,0.034,36.0,86.0,0.99026,2.8,0.55,12.0,2.8460498941515415,0.34641016151377546,0.6164414002968976,0.9486832980505138,0.18439088914585774,0.9951180834453769,1.6733200530681511,0.7416198487095663,3.4641016151377544,6.0
21,7.9,0.33,0.23,1.7,0.077,18.0,45.0,0.99625,3.29,0.65,9.3,2.8106938645110393,0.5744562646538028,0.47958315233127197,1.3038404810405297,0.27748873851023215,0.9981232388838565,1.8138357147217055,0.806225774829855,3.0495901363953815,5.0
22,7.0,0.15,0.28,14.7,0.051,29.0,149.0,0.99792,2.96,0.39,9.0,2.6457513110645907,0.3872983346207417,0.5291502622129182,3.8340579025361627,0.22583179581272428,0.9989594586368358,1.7204650534085253,0.6244997998398398,3.0,7.0
23,7.3,0.25,0.29,7.5,0.049,38.0,158.0,0.9965,3.43,0.38,9.6,2.701851217221259,0.5,0.5385164807134504,2.7386127875258306,0.22135943621178655,0.9982484660644363,1.8520259177452134,0.6164414002968976,3.0983866769659336,5.0
