,21,22,23,24,25,26,27,28,29,30,31,"2,27,16,3","2,21,18,27,3","2,22,18,27,3","2,23,18,27,3","2,24,18,27,3","2,25,18,27,3","2,28,18,27,3","2,29,18,27,3","2,30,18,27,3","2,31,18,27,3","2,2,27,16,3,18,27,3",32
0,9.2,0.43,0.52,2.3,0.083,14.0,23.0,0.9976,3.35,0.61,11.3,0.00014029665552307466,-13.8,-22.57,-22.48,-20.7,-22.917,-22.0024,-19.65,-22.39,-11.7,-22.999859703344477,6.0
1,6.5,0.16,0.33,4.8,0.043,45.0,114.0,0.992,3.18,0.44,11.2,0.01738978864803658,-107.5,-113.84,-113.67,-109.2,-113.957,-113.008,-110.82,-113.56,-102.8,-113.98261021135197,6.0
2,6.2,0.21,0.24,1.2,0.051,31.0,95.0,0.99036,3.24,0.57,11.3,0.010062466818802037,-88.8,-94.79,-94.76,-93.8,-94.949,-94.00964,-91.76,-94.43,-83.7,-94.98993753318119,6.0
3,9.4,0.24,0.29,8.5,0.037,124.0,208.0,0.99395,2.9,0.38,11.0,0.10563860370419796,-198.6,-207.76,-207.71,-199.5,-207.963,-207.00605,-205.1,-207.62,-197.0,-207.8943613962958,3.0
4,7.7,0.23,0.31,10.7,0.038,59.0,186.0,0.9969,3.12,0.55,9.5,0.07553832076771795,-178.3,-185.77,-185.69,-175.3,-185.962,-185.0031,-182.88,-185.45,-176.5,-185.92446167923228,6.0
5,7.8,0.26,0.49,3.2,0.027,28.0,87.0,0.9919,3.03,0.32,11.3,0.0077278440694768845,-79.2,-86.74,-86.51,-83.8,-86.973,-86.0081,-83.97,-86.68,-75.7,-86.99227215593052,7.0
6,6.2,0.28,0.43,13.0,0.039,64.0,233.0,0.99745,3.08,0.38,8.9,0.14849212380609902,-226.8,-232.72,-232.57,-220.0,-232.961,-232.00255,-229.92,-232.62,-224.1,-232.8515078761939,5.0
7,6.6,0.26,0.56,15.4,0.053,32.0,141.0,0.9981,3.11,0.49,9.3,0.03290538255497079,-134.4,-140.74,-140.44,-125.6,-140.947,-140.0019,-137.89,-140.51,-131.7,-140.96709461744504,5.0
8,7.2,0.26,0.26,12.7,0.036,49.0,214.0,0.9986,3.41,0.5,10.0,0.11504687324056888,-206.8,-213.74,-213.74,-201.3,-213.964,-213.0014,-210.59,-213.5,-204.0,-213.88495312675943,6.0
9,8.0,0.25,0.26,14.0,0.043,41.0,248.0,0.9986,3.03,0.57,8.7,0.17905727221509668,-240.0,-247.75,-247.74,-234.0,-247.957,-247.0014,-244.97,-247.43,-239.3,-247.8209427277849,6.0
10,8.0,0.57,0.23,3.2,0.073,17.0,119.0,0.99675,3.26,0.57,9.3,0.01978009100887089,-111.0,-118.43,-118.77,-115.8,-118.927,-118.00325,-115.74,-118.43,-109.7,-118.98021990899113,5.0
11,7.0,0.17,0.74,12.8,0.045,24.0,126.0,0.9942,3.26,0.38,12.2,0.02348052535445009,-119.0,-125.83,-125.26,-113.2,-125.955,-125.0058,-122.74,-125.62,-113.8,-125.97651947464556,8.0
